CodigoRecinto,CodigoActa,NroMesa,VotantesHabilitados
1010200001,1.0102E+12,1,877
1010200001,1.0102E+12,2,949
1010200001,1.0102E+12,3,987
1010200001,1.0102E+12,4,119
1010200001,1.0102E+12,5,924
1010200001,1.0102E+12,6,54
1010200001,1.0102E+12,7,972
1010200001,1.0102E+12,8,186
1010200001,1.0102E+12,9,828
1010300010,1.0103E+12,1,911
1010300011,1.0103E+12,1,678
1010300011,1.0103E+12,2,930
1010300011,1.0103E+12,3,279
1010300011,1.0103E+12,4,429
1010300011,1.0103E+12,5,187
1010300011,1.0103E+12,6,212
1010300011,1.0103E+12,7,727
1010300011,1.0103E+12,8,588
1010300011,1.0103E+12,9,237
1010300011,1.0103E+12,10,23
1010300011,1.0103E+12,11,693
1010300011,1.0103E+12,12,952
1010300011,1.0103E+12,13,404
1010300011,1.0103E+12,14,10
1010300011,1.0103E+12,15,202
1010300011,1.0103E+12,16,413
1010300027,1.0103E+12,1,144
1010300027,1.0103E+12,2,162
1010300027,1.0103E+12,3,805
1010300027,1.0103E+12,4,940
1010300027,1.0103E+12,5,60
1010300027,1.0103E+12,6,588
1010300027,1.0103E+12,7,569
1010300027,1.0103E+12,8,460
1010300027,1.0103E+12,9,806
1010300027,1.0103E+12,10,479
1010300027,1.0103E+12,11,409
1010300027,1.0103E+12,12,252
1010300027,1.0103E+12,13,593
1010300027,1.0103E+12,14,776
1020100041,1.0201E+12,1,762
1020100041,1.0201E+12,2,987
1020100041,1.0201E+12,3,677
1020100041,1.0201E+12,4,34
1020100045,1.0201E+12,1,423
1020100045,1.0201E+12,2,7
1020100045,1.0201E+12,3,121
1020100045,1.0201E+12,4,262
1020100045,1.0201E+12,5,356
1020100045,1.0201E+12,6,190
1020100045,1.0201E+12,7,684
1020100045,1.0201E+12,8,722
1020100045,1.0201E+12,9,382
1020100045,1.0201E+12,10,933
1020100045,1.0201E+12,11,70
1020100045,1.0201E+12,12,368
1020100045,1.0201E+12,13,338
1020100045,1.0201E+12,14,760
1020100045,1.0201E+12,15,62
1020100045,1.0201E+12,16,214
1020100045,1.0201E+12,17,79
1020100062,1.0201E+12,1,92
1020100062,1.0201E+12,2,893
1020100062,1.0201E+12,3,539
1020100062,1.0201E+12,4,131
1020100062,1.0201E+12,5,528
1030100067,1.0301E+12,1,587
1030100067,1.0301E+12,2,927
1030100067,1.0301E+12,3,144
1030100067,1.0301E+12,4,778
1030100067,1.0301E+12,5,880
1030100067,1.0301E+12,6,341
1030100067,1.0301E+12,7,606
